gloss_sequence,vietnamese_sentence
mua_he chung_toi dang nghe,Mùa hè chúng tôi đang nghe.
buoi_trua anh se di sieu_thi,Buổi trưa anh sẽ đi siêu thị.
thu_tu benh_nhan bi met,Thứ tư bệnh nhân bị mệt.
buoi_toi ba dang giat_do,Buổi tối bà đang giặt đồ.
thu_tu ban bi dau_bung,Thứ tư bạn bị đau bụng.
buoi_trua toi bi di_ung,Buổi trưa tôi bị dị ứng.
em muon bay chao,Em muốn bảy cháo.
thu_ba ong bi dau_lung,Thứ ba ông bị đau lưng.
sach nhe,Sách nhẹ.
thay_giao thich banh,Thầy giáo thích bánh.
toi_nay ba dang chay,Tối nay bà đang chạy.
thu_bay bo bi ho,Thứ bảy bố bị ho.
thu_hai me se di benh_vien,Thứ hai mẹ sẽ đi bệnh viện.
me can giuong,Mẹ cần giường.
mua_dong em dang di_cho,Mùa đông em đang đi chợ.
buoi_chieu con_gai dang doc_sach,Buổi chiều con gái đang đọc sách.
thu_ba thay_giao bi dau_chan,Thứ ba thầy giáo bị đau chân.
toi tim cua,Tôi tìm cửa.
me can nam banh_mi,Mẹ cần năm bánh mì.
chi muon nuoc o truong,Chị muốn nước ở trường.
thang em lam_viec,Tháng em làm việc.
buoi_sang con_trai bi dau_chan,Buổi sáng con trai bị đau chân.
ngay_mai ong dang choi,Ngày mai ông đang chơi.
buoi_trua nguoi_khiem_thinh bi ho,Buổi trưa người khiếm thính bị ho.
con_gai can pho,Con gái cần phở.
mua_dong em dang hoc_bai,Mùa đông em đang học bài.
me can di_benh_vien,Mẹ cần đi bệnh viện.
ngay_mai anh lam_viec,Ngày mai anh làm việc.
ban can tam may_tinh,Bạn cần tám máy tính.
bo muon cua,Bố muốn cửa.
bo di khi_nao,Bố đi khi nào?
ba can ca_phe,Bà cần cà phê.
hom_nay chi dang doc_sach,Hôm nay chị đang đọc sách.
thu_bay ong viet,Thứ bảy ông viết.
bo can rau,Bố cần rau.
chu_nhat ong bi buon_non,Chủ nhật ông bị buồn nôn.
hom_qua co_giao nghi,Hôm qua cô giáo nghỉ.
me di cho,Mẹ đi chợ.
bay_gio bo se di phong_kham,Bây giờ bố sẽ đi phòng khám.
mua_dong toi hoc_bai,Mùa đông tôi học bài.
bo muon chin ban_phim,Bố muốn chín bàn phím.
toi_nay ong dang giat_do,Tối nay ông đang giặt đồ.
ngay_mai chi doc_sach,Ngày mai chị đọc sách.
buoi_trua nguoi_khiem_thinh dang nau_an,Buổi trưa người khiếm thính đang nấu ăn.
toi_nay toi bi dau_chan,Tối nay tôi bị đau chân.
mua_dong anh doc_sach,Mùa đông anh đọc sách.
thu_sau bo bi ho,Thứ sáu bố bị ho.
chi khong_thich bun,Chị không thích bún.
ngay benh_nhan bi dau_dau,Ngày bệnh nhân bị đau đầu.
buoi_sang em bi buon_non,Buổi sáng em bị buồn nôn.
chung_toi muon den,Chúng tôi muốn đèn.
hom_nay troi_nong,Hôm nay trời nóng.
ngay ong dang di_bo,Ngày ông đang đi bộ.
ngay thay_giao dang chay,Ngày thầy giáo đang chạy.
buoi_toi con_trai dang doc_sach,Buổi tối con trai đang đọc sách.
bo muon dong_ho,Bố muốn đồng hồ.
anh can o khong,Anh có cần ô không?
ngay bo dang uong,Ngày bố đang uống.
me tim giay,Mẹ tìm giày.
chu_nhat chung_toi dang nghe,Chủ nhật chúng tôi đang nghe.
nguoi_khiem_thinh can nuoc khong,Người khiếm thính có cần nước không?
thang thay_giao dang xem,Tháng thầy giáo đang xem.
buoi_trua bo xem,Buổi trưa bố xem.
benh_nhan di cong_ty,Bệnh nhân đi công ty.
buoi_trua co_giao dang chay,Buổi trưa cô giáo đang chạy.
buoi_chieu con_gai dang ngu,Buổi chiều con gái đang ngủ.
thu_hai thay_giao bi dau_tay,Thứ hai thầy giáo bị đau tay.
hom_nay ban lam_viec,Hôm nay bạn làm việc.
anh can mot_tram sua,Anh cần một trăm sữa.
anh bi dau_chan nen can giup_do,Anh bị đau chân nên cần giúp đỡ.
thu_bay co_giao dang di_bo,Thứ bảy cô giáo đang đi bộ.
ba can tra khong,Bà có cần trà không?
thu_tu bao,Thứ tư bão.
ngay_mai em dang di_hoc,Ngày mai em đang đi học.
me da an,Mẹ đã ăn.
hom_nay em dang mua_sam,Hôm nay em đang mua sắm.
hom_qua con_gai dang an,Hôm qua con gái đang ăn.
mua_he ba dang di_cho,Mùa hè bà đang đi chợ.
me mat cua,Mẹ mất cửa.
em o cong_vien,Em ở công viên.
buoi_chieu ban dang tam,Buổi chiều bạn đang tắm.
bay_gio nguoi_khiem_thinh dang mua_sam,Bây giờ người khiếm thính đang mua sắm.
ngay co dang nghi,Ngày cô đang nghỉ.
nam nguoi_khiem_thinh dang di_cho,Năm người khiếm thính đang đi chợ.
buoi_sang co nghe,Buổi sáng cô nghe.
buoi_toi bo doc_sach,Buổi tối bố đọc sách.
benh_nhan can goi_y_ta khong,Bệnh nhân có cần gọi y tá không?
hom_nay chi dang di_hoc,Hôm nay chị đang đi học.
nam toi bi bi_thuong,Năm tôi bị bị thương.
anh bi sot nen can com,Anh bị sốt nên cần cơm.
chi muon di nha_thuoc,Chị muốn đi nhà thuốc.
thu_nam ong dang di_hoc,Thứ năm ông đang đi học.
buoi_chieu thay_giao hoc_bai,Buổi chiều thầy giáo học bài.
thu_bay ong bi dau,Thứ bảy ông bị đau.
ngay_mai co bi buon_non,Ngày mai cô bị buồn nôn.
toi_nay co_giao bi buon_non,Tối nay cô giáo bị buồn nôn.
buoi_trua toi dang nghi,Buổi trưa tôi đang nghỉ.
thu_sau ba bi met,Thứ sáu bà bị mệt.
mua_dong chi bi dau_bung,Mùa đông chị bị đau bụng.
chi can muoi sach,Chị cần mười sách.
con_gai can kinh khong,Con gái có cần kính không?
chung_toi can ca_phe khong,Chúng tôi có cần cà phê không?
em bi dau_bung nen can di_nha_ve_sinh,Em bị đau bụng nên cần đi nhà vệ sinh.
thu_bay em lam_bai_tap,Thứ bảy em làm bài tập.
thu_hai benh_nhan dang xem,Thứ hai bệnh nhân đang xem.
em muon ao,Em muốn áo.
mua_he benh_nhan dang choi,Mùa hè bệnh nhân đang chơi.
buoi_trua ba dang noi,Buổi trưa bà đang nói.
buoi_toi anh dang rua_tay,Buổi tối anh đang rửa tay.
buoi_trua chung_toi bi dau_hong,Buổi trưa chúng tôi bị đau họng.
anh muon di nha_bep,Anh muốn đi nhà bếp.
thu_nam bo bi dau_bung,Thứ năm bố bị đau bụng.
co se tap_the_duc,Cô sẽ tập thể dục.
nam em bi kho_tho,Năm em bị khó thở.
ong muon mua cua,Ông muốn mua cửa.
bay_gio chung_toi dang tap_the_duc,Bây giờ chúng tôi đang tập thể dục.
me can ghe,Mẹ cần ghế.
buoi_sang ban dang noi,Buổi sáng bạn đang nói.
thu_bay chung_toi dang di_bo,Thứ bảy chúng tôi đang đi bộ.
thu_hai bo bi bi_thuong,Thứ hai bố bị bị thương.
anh den nha_ga,Anh đến nhà ga.
ngay_mai chung_toi dang uong,Ngày mai chúng tôi đang uống.
ngay chi bi bi_thuong,Ngày chị bị bị thương.
thu_bay me di_hoc,Thứ bảy mẹ đi học.
thu_ba con_gai dang ngu,Thứ ba con gái đang ngủ.
em o phong,Em ở phòng.
thu_bay thay_giao bi cam_lanh,Thứ bảy thầy giáo bị cảm lạnh.
toi can rau khong,Tôi có cần rau không?
thu_hai chi dang doc_sach,Thứ hai chị đang đọc sách.
bo khong_thich nuoc_cam,Bố không thích nước cam.
thu_hai benh_nhan bi buon_non,Thứ hai bệnh nhân bị buồn nôn.
anh muon ca o phong_kham,Anh muốn cá ở phòng khám.
toi thich ban,Tôi thích bàn.
co khong di_hoc,Cô không đi học.
chi can mot_tram dien_thoai,Chị cần một trăm điện thoại.
toi_nay anh bi dau_tay,Tối nay anh bị đau tay.
ba muon giuong,Bà muốn giường.
bay_gio ong nghi,Bây giờ ông nghỉ.
me bi ho nen can com,Mẹ bị ho nên cần cơm.
buoi_sang ban bi dau_hong,Buổi sáng bạn bị đau họng.
anh o phong_kham,Anh ở phòng khám.
mua_dong ong dang doc_sach,Mùa đông ông đang đọc sách.
thu_ba co_giao dang viet,Thứ ba cô giáo đang viết.
ba thich ao_khoac,Bà thích áo khoác.
co khong muon nguoi_phien_dich,Cô không muốn người phiên dịch.
thu_tu co_may khong,Thứ tư có có mây không?
nam chung_toi bi dau_chan,Năm chúng tôi bị đau chân.
anh muon ca o lop_hoc,Anh muốn cá ở lớp học.
chi bi chong_mat nen can com,Chị bị chóng mặt nên cần cơm.
bo muon di truong,Bố muốn đi trường.
bo can nam tivi,Bố cần năm ti vi.
thu_hai ba hoc_bai,Thứ hai bà học bài.
ong muon tra o truong,Ông muốn trà ở trường.
ngay_mai con_gai bi dau_dau,Ngày mai con gái bị đau đầu.
thu_ba anh dang nghi,Thứ ba anh đang nghỉ.
buoi_sang co_giao dang tap_the_duc,Buổi sáng cô giáo đang tập thể dục.
nam em bi sot,Năm em bị sốt.
em muon den cong_vien,Em muốn đến công viên.
mua_dong ban dang giat_do,Mùa đông bạn đang giặt đồ.
thu_tu em bi di_ung,Thứ tư em bị dị ứng.
em khong muon goi_bac_si,Em không muốn gọi bác sĩ.
anh muon bon den,Anh muốn bốn đèn.
buoi_sang bo bi dau_dau,Buổi sáng bố bị đau đầu.
toi muon bay banh_mi,Tôi muốn bảy bánh mì.
buoi_trua bo nghe,Buổi trưa bố nghe.
toi_nay con_trai dang hoc_bai,Tối nay con trai đang học bài.
anh dang nghi,Anh đang nghỉ.
nam bo dang ngu,Năm bố đang ngủ.
hom_qua chi dang noi,Hôm qua chị đang nói.
co_giao den lop_hoc,Cô giáo đến lớp học.
benh_nhan thich tivi,Bệnh nhân thích ti vi.
buoi_toi nguoi_khiem_thinh dang ngu,Buổi tối người khiếm thính đang ngủ.
ban can kinh,Bạn cần kính.
thu_nam ban dang viet,Thứ năm bạn đang viết.
mua_dong con_trai dang di_hoc,Mùa đông con trai đang đi học.
ngay_mai co_giao dang giat_do,Ngày mai cô giáo đang giặt đồ.
me muon bay chao,Mẹ muốn bảy cháo.
thu_bay co_giao di_hoc,Thứ bảy cô giáo đi học.
thu_bay ong dang nghi,Thứ bảy ông đang nghỉ.
buoi_trua ong se di sieu_thi,Buổi trưa ông sẽ đi siêu thị.
ba_lo moi,Ba lô mới.
buoi_toi anh viet,Buổi tối anh viết.
toi muon bay den,Tôi muốn bảy đèn.
ngay_mai me bi buon_non,Ngày mai mẹ bị buồn nôn.
me muon nam pho,Mẹ muốn năm phở.
me muon chao o sieu_thi,Mẹ muốn cháo ở siêu thị.
chu_nhat ba bi dau_hong,Chủ nhật bà bị đau họng.
gia_dinh can ao,Gia đình cần áo.
hom_nay em dang noi,Hôm nay em đang nói.
chi khong muon sac_pin,Chị không muốn sạc pin.
hom_qua benh_nhan dang nau_an,Hôm qua bệnh nhân đang nấu ăn.
nam toi bi di_ung,Năm tôi bị dị ứng.
toi_nay chung_toi dang xem,Tối nay chúng tôi đang xem.
mua_he ong bi kho_tho,Mùa hè ông bị khó thở.
ngay_mai con_gai bi chong_mat,Ngày mai con gái bị chóng mặt.
em da xem,Em đã xem.
buoi_trua thay_giao bi buon_non,Buổi trưa thầy giáo bị buồn nôn.
benh_nhan muon di_nha_ve_sinh,Bệnh nhân muốn đi nhà vệ sinh.
chu_nhat co bi dau_dau,Chủ nhật cô bị đau đầu.
bay_gio em se di benh_vien,Bây giờ em sẽ đi bệnh viện.
anh muon hai_muoi pho,Anh muốn hai mươi phở.
chu_nhat chung_toi bi dau_bung,Chủ nhật chúng tôi bị đau bụng.
bay_gio em dang mua_sam,Bây giờ em đang mua sắm.
hom_qua ba dang mua_sam,Hôm qua bà đang mua sắm.
con_gai can tivi,Con gái cần ti vi.
ban can tam ban_phim,Bạn cần tám bàn phím.
hom_nay bo dang viet,Hôm nay bố đang viết.
thay_giao can ban_do,Thầy giáo cần bản đồ.
em la giao_vien,Em là giáo viên.
benh_nhan can rau,Bệnh nhân cần rau.
em thich ba_lo,Em thích ba lô.
thu_hai ong dang di_cho,Thứ hai ông đang đi chợ.
me di nha,Mẹ đi nhà.
thu_bay toi hoc_bai,Thứ bảy tôi học bài.
anh can nam nuoc,Anh cần năm nước.
lam_on dua kinh_lup giup toi,Làm ơn đưa kính lúp giúp tôi.
thu_sau ong hoc_bai,Thứ sáu ông học bài.
thu_ba toi bi dau_chan,Thứ ba tôi bị đau chân.
ban khong lam_bai_tap,Bạn không làm bài tập.
chi khong_dong_y,Chị không đồng ý.
buoi_sang benh_nhan bi dau_bung,Buổi sáng bệnh nhân bị đau bụng.
chu_nhat con_trai bi buon_non,Chủ nhật con trai bị buồn nôn.
ban muon sua o phong_kham,Bạn muốn sữa ở phòng khám.
co can keo khong,Cô có cần kẹo không?
hom_nay con_trai dang uong,Hôm nay con trai đang uống.
hom_qua nguoi_khiem_thinh dang tam,Hôm qua người khiếm thính đang tắm.
me thich giay,Mẹ thích giày.
ba bi dau_dau,Bà bị đau đầu.
thu_ba co_giao noi,Thứ ba cô giáo nói.
nguoi_khiem_thinh bi dau_dau nen can goi_bac_si,Người khiếm thính bị đau đầu nên cần gọi bác sĩ.
thu_ba con_gai dang di_hoc,Thứ ba con gái đang đi học.
anh muon trai_cay,Anh muốn trái cây.
hom_qua toi se di cho,Hôm qua tôi sẽ đi chợ.
con_trai can keo,Con trai cần kẹo.
buoi_sang ba bi dau_lung,Buổi sáng bà bị đau lưng.
chung_toi thich ao_khoac,Chúng tôi thích áo khoác.
mua_dong bo hoc_bai,Mùa đông bố học bài.
thu_tu ban dang lam_viec,Thứ tư bạn đang làm việc.
toi_nay ong xem,Tối nay ông xem.
bo can may_tinh khong,Bố có cần máy tính không?
anh can bon dien_thoai,Anh cần bốn điện thoại.
bo muon di san_bay,Bố muốn đi sân bay.
buoi_chieu me dang uong,Buổi chiều mẹ đang uống.
ngay_mai con_trai dang rua_tay,Ngày mai con trai đang rửa tay.
buoi_toi anh bi ho,Buổi tối anh bị ho.
ban muon bay pho,Bạn muốn bảy phở.
ong can mot_tram banh_mi,Ông cần một trăm bánh mì.
thu_sau me bi dau_hong,Thứ sáu mẹ bị đau họng.
thu_nam bo bi buon_non,Thứ năm bố bị buồn nôn.
benh_nhan o nha_ga,Bệnh nhân ở nhà ga.
mua_dong anh bi dau_chan,Mùa đông anh bị đau chân.
ban di sieu_thi,Bạn đi siêu thị.
thu_ba co lam_bai_tap,Thứ ba cô làm bài tập.
mua_he me dang viet,Mùa hè mẹ đang viết.
hom_qua chung_toi dang di_cho,Hôm qua chúng tôi đang đi chợ.
thu_tu bo bi dau_tay,Thứ tư bố bị đau tay.
nguoi_khiem_thinh muon trai_cay,Người khiếm thính muốn trái cây.
buoi_toi thay_giao bi sot,Buổi tối thầy giáo bị sốt.
buoi_chieu thay_giao nghi,Buổi chiều thầy giáo nghỉ.
thu_bay anh bi dau_bung,Thứ bảy anh bị đau bụng.
hom_qua con_trai bi chong_mat,Hôm qua con trai bị chóng mặt.
toi muon chin sach,Tôi muốn chín sách.
toi_nay toi se di phong_kham,Tối nay tôi sẽ đi phòng khám.
chu_nhat ban bi dau_bung,Chủ nhật bạn bị đau bụng.
thu_hai co bi met,Thứ hai cô bị mệt.
bo can bon pho,Bố cần bốn phở.
thang em di_hoc,Tháng em đi học.
con_gai den giuong,Con gái đến giường.
hom_nay ban bi sot,Hôm nay bạn bị sốt.
ban muon di san_bay,Bạn muốn đi sân bay.
buoi_toi chi se di phong_kham,Buổi tối chị sẽ đi phòng khám.
ba da lam_bai_tap,Bà đã làm bài tập.
nam chung_toi dang ngu,Năm chúng tôi đang ngủ.
ban can ba_lo,Bạn cần ba lô.
anh can dien_thoai,Anh cần điện thoại.
thu_hai ong bi sot,Thứ hai ông bị sốt.
hom_nay benh_nhan bi dau,Hôm nay bệnh nhân bị đau.
co muon di nha_ve_sinh,Cô muốn đi nhà vệ sinh.
buoi_sang bo dang noi,Buổi sáng bố đang nói.
bo dang viet,Bố đang viết.
con_trai thich banh_mi,Con trai thích bánh mì.
co_giao can goi_y_ta,Cô giáo cần gọi y tá.
bay_gio benh_nhan bi di_ung,Bây giờ bệnh nhân bị dị ứng.
chi muon goi_bac_si,Chị muốn gọi bác sĩ.
toi muon mot_tram nuoc_cam,Tôi muốn một trăm nước cam.
nam co_giao dang nghe,Năm cô giáo đang nghe.
hom_nay toi bi chay_mau,Hôm nay tôi bị chảy máu.
mua_dong toi bi dau_bung,Mùa đông tôi bị đau bụng.
giay lanh,Giày lạnh.
thu_tu em dang di_hoc,Thứ tư em đang đi học.
toi dong_y,Tôi đồng ý.
thu_ba em dang di_hoc,Thứ ba em đang đi học.
chu_nhat con_gai dang lam_viec,Chủ nhật con gái đang làm việc.
toi_nay bo se di benh_vien,Tối nay bố sẽ đi bệnh viện.
me da rua_tay,Mẹ đã rửa tay.
toi can bay sua,Tôi cần bảy sữa.
buoi_trua ong lam_bai_tap,Buổi trưa ông làm bài tập.
thu_sau chi ngu,Thứ sáu chị ngủ.
me muon mot nuoc_cam,Mẹ muốn một nước cam.
chu_nhat ban ngu,Chủ nhật bạn ngủ.
toi muon nuoc_cam o nha,Tôi muốn nước cam ở nhà.
ban_be can di_benh_vien,Bạn bè cần đi bệnh viện.
ban muon bun o nha_thuoc,Bạn muốn bún ở nhà thuốc.
chu_nhat co_giao nghe,Chủ nhật cô giáo nghe.
co_giao muon bun,Cô giáo muốn bún.
thu_nam thay_giao bi dau_tay,Thứ năm thầy giáo bị đau tay.
toi muon bun,Tôi muốn bún.
toi_nay bo dang lam_bai_tap,Tối nay bố đang làm bài tập.
buoi_chieu me ngu,Buổi chiều mẹ ngủ.
buoi_trua thay_giao dang di_bo,Buổi trưa thầy giáo đang đi bộ.
chi bi sot nen can goi_bac_si,Chị bị sốt nên cần gọi bác sĩ.
thu_tu con_trai dang xem,Thứ tư con trai đang xem.
ngay_mai em dang hoc_bai,Ngày mai em đang học bài.
hom_nay ong dang xem,Hôm nay ông đang xem.
toi_nay ong se di cho,Tối nay ông sẽ đi chợ.
chi muon sau sua,Chị muốn sáu sữa.
hom_nay ban se di phong_kham,Hôm nay bạn sẽ đi phòng khám.
toi can hai_muoi dien_thoai,Tôi cần hai mươi điện thoại.
bo cam_thay dau_lung,Bố cảm thấy đau lưng.
buoi_trua co di_hoc,Buổi trưa cô đi học.
mua_dong chung_toi bi cam_lanh,Mùa đông chúng tôi bị cảm lạnh.
buoi_trua toi se di phong_kham,Buổi trưa tôi sẽ đi phòng khám.
thu_tu nguoi_khiem_thinh bi dau_hong,Thứ tư người khiếm thính bị đau họng.
me can bon bun,Mẹ cần bốn bún.
ban can nuoc khong,Bạn có cần nước không?
anh di nha_thuoc,Anh đi nhà thuốc.
thu_hai chi dang di_cho,Thứ hai chị đang đi chợ.
buoi_toi thay_giao dang choi,Buổi tối thầy giáo đang chơi.
buoi_toi toi se di cong_ty,Buổi tối tôi sẽ đi công ty.
bo bi chong_mat nen can goi_y_ta,Bố bị chóng mặt nên cần gọi y tá.
gia_dinh cam_thay tuc_gian,Gia đình cảm thấy tức giận.
con_gai muon giay,Con gái muốn giày.
ngay ba bi dau,Ngày bà bị đau.
thu_ba chung_toi dang di_hoc,Thứ ba chúng tôi đang đi học.
ngay co lam_bai_tap,Ngày cô làm bài tập.
toi_nay benh_nhan dang choi,Tối nay bệnh nhân đang chơi.
ba dang tam,Bà đang tắm.
hom_nay chi se di lop_hoc,Hôm nay chị sẽ đi lớp học.
anh muon pho o cho,Anh muốn phở ở chợ.
bay_gio nguoi_khiem_thinh bi chay_mau,Bây giờ người khiếm thính bị chảy máu.
ngay ban dang ngu,Ngày bạn đang ngủ.
ban den sieu_thi,Bạn đến siêu thị.
anh la nghe_nghiep,Anh là nghề nghiệp.
toi muon muoi may_tinh,Tôi muốn mười máy tính.
hom_nay em se di nha,Hôm nay em sẽ đi nhà.
buoi_trua toi lam_viec,Buổi trưa tôi làm việc.
thu_tu co dang lam_bai_tap,Thứ tư cô đang làm bài tập.
bo la cong_nhan,Bố là công nhân.
chu_nhat co_giao dang nghe,Chủ nhật cô giáo đang nghe.
anh muon tra o lop_hoc,Anh muốn trà ở lớp học.
thu_sau benh_nhan bi bi_thuong,Thứ sáu bệnh nhân bị bị thương.
con_gai can may_tinh khong,Con gái có cần máy tính không?
me can bay nuoc,Mẹ cần bảy nước.
nam con_trai dang an,Năm con trai đang ăn.
ong muon ba sua,Ông muốn ba sữa.
mua_he ba doc_sach,Mùa hè bà đọc sách.
ban muon dien_thoai,Bạn muốn điện thoại.
benh_nhan can sac_pin khong,Bệnh nhân có cần sạc pin không?
ngay thay_giao xem,Ngày thầy giáo xem.
ong can mot_tram vo,Ông cần một trăm vở.
hom_nay bo bi di_ung,Hôm nay bố bị dị ứng.
toi den van_phong,Tôi đến văn phòng.
benh_nhan muon banh_mi,Bệnh nhân muốn bánh mì.
mua_he chi dang noi,Mùa hè chị đang nói.
bay_gio toi se di benh_vien,Bây giờ tôi sẽ đi bệnh viện.
